,지역,구,제목,사업체명,교육업체,사업유형,계획인원,참여인원,기간,접수여부
748,인천광역시,서구,- 건설업 - 잔디식재 공사 및 제조 작업 등 - 시니어인턴십 3개월 운영 후 신규고용, 남경조경,시니어잡네트워크센터(민간),현장실습훈련 지원,35,0,2025-03-04 ~ 2025-05-30,접수중
749,전라남도,구례군,- 노인요양시설 - 요양원 시니어인턴십 3개월 운영 후 신규고용, 구례군노인전문요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-01-15 ~ 2025-08-30,접수중
750,전라남도,목포시,"- 노인복지시설 - 요양원 - 오리엔테이션교육, 시니어인턴십 사업 안내 자체 실시 - 시니어인턴십 3개월 운영 후 계속고용예정", 미래은빛요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,1,0,2025-03-20 ~ 2025-06-30,접수중
751,전라남도,신안군,- 운수업 - 전세버스 외 - 시니어인턴십 3개월 운영 후 신규고용, 유한회사 비젼투어,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-01-21 ~ 2025-08-30,접수중
752,전라남도,해남군,- 노인요양시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 선회노인요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-03-04 ~ 2025-07-31,접수중
753,전라남도,화순군,- 노인요양시설 - 요양원 시니어인턴십 3개월 운영 후 신규고용, 삼성재활전문요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,4,0,2025-01-21 ~ 2025-08-30,접수중
754,충청남도,공주시,- 노인요양시설 - 요양원 - 시니어인턴십 3개월 운영 후 신규고용, 공주엘림요양원,시니어잡네트워크센터(민간),현장실습훈련 지원,1,0,2025-03-07 ~ 2025-04-30,접수중
755,충청남도,당진시,"전세버스 운수업, 출퇴근버스 현장실습 훈련 실시 후 계속고용", 신성관광주식회사,도시문화네트워크,현장실습훈련 지원,20,0,2025-02-17 ~ 2025-12-31,접수중
756,충청남도,당진시,전세버스 등 운수업 현장실습 훈련 실시 후 계속고용, 천수한양관광(주),도시문화네트워크,현장실습훈련 지원,5,0,2025-01-01 ~ 2025-12-31,접수중
757,충청남도,보령시,시니어인턴(3개월) 단기근로자로 채용 후 계속고용 시니어인턴(3개월) 단기근로자로 채용 후 계속고용, 이(E)호텔,제이엠커리어 천안지사,현장실습훈련 지원,1,0,2025-04-02 ~ 2025-04-16,접수중
758,충청남도,보령시,전세버스 운수업 현장실습 훈련 실시 후 계속고용, 주식회사 통일관광,도시문화네트워크,현장실습훈련 지원,5,0,2025-01-01 ~ 2025-12-31,접수중
759,충청남도,부여군,-관광업 -기업체 출 퇴근 현장실습 훈련 실시 후 계속고용, 한화고속관광협동조합,도시문화네트워크,현장실습훈련 지원,20,0,2025-02-12 ~ 2025-12-31,접수중
760,충청남도,서산시,"-. 보건업 및 사회복지 서비스업 -. 시니어인턴십 사업안내 -. 계속고용 연계 -. 직무교육,안전교육,화재예방 및 위생교육", 큰나무재가복지센터,(주)휴비즈코리아(민간),현장실습훈련 지원,1,0,2025-01-09 ~ 2025-11-30,접수중
761,충청남도,서산시,-. 숙박 및 음식점업 -. 사업참여이후 계속고용 예정 100% -. 직무교육 및 산업안전교육 등, 광복정육식관,(주)휴비즈코리아(민간),현장실습훈련 지원,2,0,2025-01-08 ~ 2025-12-31,접수중
762,충청남도,서산시,"전세버스,출퇴근등 현장실습 훈련 실시 후 계속고용", 서산관광주식회사,도시문화네트워크,현장실습훈련 지원,10,0,2025-02-17 ~ 2025-12-31,접수중
763,충청남도,서산시,"관광버스,통근버스 등 운수업 현장실습 훈련 실시 후 계속고용", 충남관광(주),도시문화네트워크,현장실습훈련 지원,10,0,2025-01-01 ~ 2025-12-31,접수중
764,충청남도,서산시,"- 운수업, 서비스업 - 전세버스 운송업 - 시니어인턴십 3개월 운영 후 신규고용 - 참여자 계속고용 예정", 대진환경주식회사,시니어잡네트워크센터(민간),현장실습훈련 지원,5,0,2025-01-16 ~ 2025-06-30,접수중
765,충청남도,아산시,"- 제조업 - 자동화 장비, 반도체 및 LCD 부품가공 - 시니어인턴십 3개월 운영 후 신규고용", (주)엔에스코리아,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-02-10 ~ 2025-07-31,접수중
766,충청남도,아산시,운수업 현장실습 훈련 실시 후 계속고용, 주식회사 충효관광,도시문화네트워크,현장실습훈련 지원,13,0,2025-02-04 ~ 2025-12-31,접수중
767,충청남도,아산시,태권도 수업 현장실습 훈련 실시 후 계속고용, 국가대표챔피언,도시문화네트워크,현장실습훈련 지원,2,0,2025-02-06 ~ 2025-12-31,접수중
768,충청남도,아산시,운수업 현장실습 훈련 실시 후 계속고용, 뉴충효관광주식회사,도시문화네트워크,현장실습훈련 지원,8,0,2025-02-04 ~ 2025-12-31,접수중
769,충청남도,아산시,"이동급식,음식제조 현장실습 훈련 실시 후 계속고용", 주식회사 정담푸드,도시문화네트워크,현장실습훈련 지원,3,0,2025-01-01 ~ 2025-12-31,접수중
770,충청남도,아산시,- 노인요양시설 - 시니어인턴십 3개월 운영 후 신규고용, 백합시니어빌,시니어잡네트워크센터(민간),현장실습훈련 지원,3,0,2025-01-01 ~ 2025-07-31,접수중
771,충청남도,아산시,반도체 장비 제조 등 현장실습 훈련 실시 후 계속고용, 주식회사 한텍,도시문화네트워크,현장실습훈련 지원,1,0,2025-01-01 ~ 2025-12-31,접수중
772,충청남도,아산시,"- 보건업 - 정형외과 - 오리엔테이션교육, 시니어인턴십 사업 안내 자체 실시 - 시니어인턴십 3개월 운영 후 계속고용예정", 프라이드병원,시니어잡네트워크센터(민간),현장실습훈련 지원,2,0,2025-01-22 ~ 2025-06-30,접수중
773,충청남도,아산시,한방진료 현장실습 훈련 실시 후 계속고용, 호두나무한의원,도시문화네트워크,현장실습훈련 지원,5,0,2025-01-01 ~ 2025-12-31,접수중
774,충청남도,아산시,사업지원서비스업 : 안전관리업 100% 계속고용, (주)수하이엔에스,(주)휴비즈코리아(민간),현장실습훈련 지원,25,0,2025-01-08 ~ 2025-12-31,접수중
775,충청남도,아산시,-. 숙박 및 음식점업 -. 사업참여이후 계속고용 예정 100% -. 직무교육 및 산업안전교육 등, (주)밥앤스토리,(주)휴비즈코리아(민간),현장실습훈련 지원,10,0,2025-01-08 ~ 2025-11-30,접수중
