기관명,특별시도,주소,위도,경도,지역
세종고용센터,세종특별자치시,세종특별자치시 조치원읍 터미널안길 60,36.601502750000,127.303225600000,세종특별자치시 조치원읍
(주)맥시머스 세종지점,세종특별자치시,세종특별자치시 가름로 232(어진동) A동 333호,36.495658200000,127.265483400000,세종특별자치시 가름로
(주)지에스씨넷 세종지점,세종특별자치시,세종특별자치시 한누리대로 583(도담동),36.515281641504,127.258483131910,세종특별자치시 한누리대로
서울강남고용센터,서울특별시,서울특별시 강남구 테헤란로 410(대치동) 8~10F,37.504556500000,127.050760200000,서울특별시 강남구
(주)스카우트,서울특별시,서울특별시 강남구 언주로 431(역삼동) -,37.501905300000,127.042767800000,서울특별시 강남구
(주)이음길에이치알,서울특별시,서울특별시 강남구 테헤란로 419(삼성동),37.505886500000,127.052161400000,서울특별시 강남구
(주)커리어넷 서울강남지사,서울특별시,서울특별시 강남구 테헤란로43길 10(역삼동) -,37.503895200000,127.044173200000,서울특별시 강남구
국제커리어센터 서울강남지점,서울특별시,서울특별시 강남구 테헤란로22길 11(역삼동) -,37.499238800000,127.035329300000,서울특별시 강남구
사단법인 한국직업지도진흥원 강남센터,서울특별시,서울특별시 강남구 테헤란로44길 5(역삼동) 5층,37.502588100000,127.044894500000,서울특별시 강남구
인지어스 유한회사 강남지사,서울특별시,서울특별시 강남구 테헤란로 311(역삼동),37.503836400000,127.044857400000,서울특별시 강남구
주식회사 맥시머스,서울특별시,서울특별시 강남구 논현로 503(역삼동),37.501279100000,127.036209800000,서울특별시 강남구
사단법인 한국직업지도진흥원 강남센터,서울특별시,서울특별시 강남구 테헤란로44길 5(역삼동) -,37.502588100000,127.044894500000,서울특별시 강남구
(사)한국고용복지센터 서울동부,서울특별시,"서울특별시 강동구 천호대로 1120(성내동, 엘아이지건영리가 주상복합) -",37.538032840000,127.125107500000,서울특별시 강동구
(주)대신능력개발취업센터,서울특별시,서울특별시 강동구 양재대로 1377(성내동),37.537502500000,127.139872900000,서울특별시 강동구
(주)잡모아 천호지점,서울특별시,서울특별시 강동구 올림픽로 620(성내동),37.548456490000,127.127533800000,서울특별시 강동구
국제커리어센터 서울동부,서울특별시,"서울특별시 강동구 올림픽로 660(천호동, 천호엘크루주상복합) -",37.548456490000,127.127533800000,서울특별시 강동구
(주)에듀잡컨설팅,서울특별시,서울특별시 강북구 오패산로 396-1(번동),37.611926210000,127.035213700000,서울특별시 강북구
(주)커리어넷 서울북부지사,서울특별시,서울특별시 강북구 숭인로 63(미아동) -,37.612635777222,127.028644578066,서울특별시 강북구
강북성북고용센터,서울특별시,"서울특별시 강북구 도봉로 136(미아동) 풍양빌딩 2층,3층,6층,8층,10층",37.622799410000,127.027511900000,서울특별시 강북구
서울강서고용센터,서울특별시,서울특별시 강서구 양천로57길 10-10(가양동) 탐라영재관 2~3층,37.564014470000,126.852710100000,서울특별시 강서구
(주)미래고용정보 서울남부지사,서울특별시,서울특별시 강서구 강서로 385(마곡동),37.538356390000,126.842729500000,서울특별시 강서구
(주)커리어넷 서울남부지사,서울특별시,서울특별시 강서구 마곡중앙6로 93(마곡동) -,37.559955000000,126.837801400000,서울특별시 강서구
스탭스(주) 서울남부센터,서울특별시,서울특별시 강서구 강서로 391(마곡동),37.538356390000,126.842729500000,서울특별시 강서구
인지어스(유)남부지사,서울특별시,서울특별시 강서구 강서로 200(화곡동),37.544095500000,126.838316300000,서울특별시 강서구
(주)맥시머스 서울관악지점,서울특별시,서울특별시 관악구 남부순환로 1838(봉천동),37.480489500000,126.954037300000,서울특별시 관악구
